GEMS Station Number,Historical GEMS Number,Local Station Number,Country Name,Water Type,Station Identifier,Station Narrative,Water Body Name,Main Basin,Upstream Basin Area,Elevation,Monitoring Type,Date Station Opened,Responsible Collection Agency,Latitude,Longitude,River Width,Discharge,Max. Depth,Lake Area,Lake Volume,Average Retention,Area of Aquifer,Depth of Impermeable Lining,Production Zone,Mean Abstraction Rate,Mean Abstraction Level
NLD00373,,NL38_OKLEIWE900,Netherlands (the),Lake station,KLEINE WETERING,,,RHINE-MEUSE,,7,TREND,NaT,European Environment Agency,51.7082,5.4015,,,,,,,,,,,
NLD00374,,NL38_OLAARWL430,Netherlands (the),River station,GRAAFSE RAAM  LAGE RAAM  PEELKANAAL EA,,,RHINE-MEUSE,,11,TREND,NaT,European Environment Agency,51.6991,5.8702,,,,,,,,,,,
NLD00375,,NL38_OLACTBE880,Netherlands (the),River station,LACTARIABEEK,,,RHINE-MEUSE,,19,TREND,NaT,European Environment Agency,51.6129,5.9171,,,,,,,,,,,
NLD00376,,NL38_OLAGERA250,Netherlands (the),Lake station,LAGE RAAM GEGRAVEN,,,RHINE-MEUSE,,11,TREND,NaT,European Environment Agency,51.6631,5.8537,,,,,,,,,,,
NLD00377,,NL38_OLEIJGR840,Netherlands (the),River station,LEIJGRAAF,,,RHINE-MEUSE,,6,TREND,NaT,European Environment Agency,51.6647,5.4425,,,,,,,,,,,
KEN00026,,1GC7,Kenya,River station,Masaita at Township,,,NILE,,2273,IMPACT,NaT,,-0.16277,35.58416,,,,,,,,,,,
KEN00025,,1GC5,Kenya,River station,Masaita at Label,,,NILE,,2051,IMPACT,NaT,,-0.1971,35.53526,,,,,,,,,,,
KEN00024,,1GC4,Kenya,River station,Tugunon,,,NILE,,2003,IMPACT,NaT,,-0.25453,35.41504,,,,,,,,,,,
NLD00368,,NL38_OHERTWE900,Netherlands (the),Lake station,HERTOGSWETERING  HOEFGRAAF E A,,,RHINE-MEUSE,,2,TREND,NaT,European Environment Agency,51.7528,5.3569,,,,,,,,,,,
KEN00023,,1GC3,Kenya,River station,Kipchorian at Kipkelion,,,NILE,,1932,IMPACT,NaT,,-0.20678,35.46189,,,,,,,,,,,
NLD00369,,NL38_OHOOGRA860,Netherlands (the),River station,HALSCHE BEEK EN HOOGE RAAM,,,RHINE-MEUSE,,9,TREND,NaT,European Environment Agency,51.7363,5.7407,,,,,,,,,,,
KEN00022,,1GC1,Kenya,River station,Masaita at Londiani dam,,,NILE,,2300,IMPACT,NaT,,-0.1354,35.6017,,,,,,,,,,,
KEN00021,,1GB6/A,Kenya,River station,Mbogo,,,NILE,,1262,IMPACT,NaT,,-0.061,35.148,,,,,,,,,,,
NLD00370,,NL38_OJANSBE880,Netherlands (the),River station,ST JANSBEEK,,,RHINE-MEUSE,,10,TREND,NaT,European Environment Agency,51.6398,5.9764,,,,,,,,,,,
NLD00371,,NL38_OKIEVLO100,Netherlands (the),River station,AA  EEUWSELSE LOOP EN KIEVITSLOOP,,,RHINE-MEUSE,,26,TREND,NaT,European Environment Agency,51.3268,5.7326,,,,,,,,,,,
KEN00020,,1GB Misc,Kenya,River station,Ainopngetuny,,,NILE,,1322,IMPACT,NaT,,-0.02966,35.17945,,,,,,,,,,,
NLD00372,,NL38_OKLEIAA890,Netherlands (the),River station,KLEINE AA,,,RHINE-MEUSE,,21,TREND,NaT,European Environment Agency,51.4173,5.7002,,,,,,,,,,,
KEN00018,,1FD2,Kenya,River station,Mokong,,,NILE,,1906,IMPACT,NaT,,0.13577,35.1254,,,,,,,,,,,
KEN00017,,1FC1,Kenya,River station,Kimondi,,,NILE,,1895,IMPACT,NaT,,0.19608,35.05008,,,,,,,,,,,
NLD00056,,NL13_RO272,Netherlands (the),Lake station,RO272,,,,,,TREND,2009-01-01,,52.19971,4.65611,,,,5.29,,,,,,,
NLD00055,,NL13_RO184,Netherlands (the),Lake station,RO184,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.09329,4.55877,,,,0.49,,,,,,,
NLD00054,,NL13_RO169,Netherlands (the),Lake station,RO169,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.12169,4.40443,,,,0.35,,,,,,,
NLD00060,,NL13_RO308,Netherlands (the),Lake station,RO308,,,,,,TREND,2009-01-01,,52.40019,4.67428,,,,1.2,,,,,,,
NLD00059,,NL13_RO300,Netherlands (the),Lake station,RO300,,,,,,TREND,2009-01-01,,52.19176,4.51593,,,,0.93,,,,,,,
NLD00058,,NL13_RO281,Netherlands (the),Lake station,RO281,,,,,,TREND,2009-01-01,,52.24094,4.72324,,,,10.32,,,,,,,
NLD00057,,NL13_RO275,Netherlands (the),Lake station,RO275,,,,,,TREND,2009-01-01,,52.33185,4.81796,,,,1.5,,,,,,,
NLD00063,,NL13_RO436,Netherlands (the),Lake station,RO436,,,,,,TREND,2009-01-01,,52.28909,4.7951,,,,0.84,,,,,,,
NLD00062,,NL13_RO420,Netherlands (the),Lake station,RO420,,,,,,TREND,2009-01-01,,52.39871,4.58986,,,,1.22,,,,,,,
NLD00061,,NL13_RO371,Netherlands (the),Lake station,RO371,,,,,,TREND,2009-01-01,,52.13689,4.68316,,,,0.75,,,,,,,
NLD00362,,NL38_OGRAARA100,Netherlands (the),River station,GRAAFSE RAAM  LAGE RAAM  PEELKANAAL EA,,,RHINE-MEUSE,,9,TREND,NaT,European Environment Agency,51.741,5.7421,,,,,,,,,,,
NLD00363,,NL38_OGROOWE690,Netherlands (the),Lake station,GROOTE WETERING,,,RHINE-MEUSE,,6,TREND,NaT,European Environment Agency,51.7005,5.4405,,,,,,,,,,,
JPN00007,080007,,Japan,River station,Sagami River - at Samukawa,"25 km southwest of Yokohama, 60 km east of Mount Fuji",,,1605,5,IMPACT,1959-07-22,National Institute for Environmental Studies - Center for Global Environment Research,35.37222222,139.375,270,36,,,,,,,,,
NLD00364,,NL38_OGROOWE890,Netherlands (the),Lake station,GROOTE WETERING,,,RHINE-MEUSE,,5,TREND,NaT,European Environment Agency,51.6965,5.3558,,,,,,,,,,,
JPN00006,080006,,Japan,Reservoir station,Sagami Reservoir - Sagami River,"At intake, 40 km northwest of Yokohama, 50 km northeast of Mount Fuji",,,,167,IMPACT,1951-05-01,National Institute for Environmental Studies - Center for Global Environment Research,35.61361111,139.2,,,33.8,3.3,0.0632,0.035,,,,,
NLD00365,,NL38_OHEDIMA540,Netherlands (the),Lake station,LUISBROEKSCHE WETERING EN HEDIKHUIZENSCHE MAAS,,,RHINE-MEUSE,,2,TREND,NaT,European Environment Agency,51.7272,5.1896,,,,,,,,,,,
NLD00366,,NL38_OHERTWE480,Netherlands (the),Lake station,HERTOGSWETERING  HOEFGRAAF E A,,,RHINE-MEUSE,,4,TREND,NaT,European Environment Agency,51.7915,5.5438,,,,,,,,,,,
NLD00367,,NL38_OHERTWE690,Netherlands (the),Lake station,HERTOGSWETERING  HOEFGRAAF E A,,,RHINE-MEUSE,,2,TREND,NaT,European Environment Agency,51.7707,5.459,,,,,,,,,,,
KEN00036,,1JG04,Kenya,River station,Sondu Miriu at Nyakwere,,,NILE,,1148,IMPACT,NaT,,-0.34796,34.79107,,,,,,,,,,,
KEN00035,,1JF8,Kenya,River station,Kipsonoi,,,NILE,,1638,IMPACT,NaT,,-0.51478,35.07985,,,,,,,,,,,
