GEMS Station Number,Historical GEMS Number,Local Station Number,Country Name,Water Type,Station Identifier,Station Narrative,Water Body Name,Main Basin,Upstream Basin Area,Elevation,Monitoring Type,Date Station Opened,Responsible Collection Agency,Latitude,Longitude,River Width,Discharge,Max. Depth,Lake Area,Lake Volume,Average Retention,Area of Aquifer,Depth of Impermeable Lining,Production Zone,Mean Abstraction Rate,Mean Abstraction Level
NLD00373,,NL38_OKLEIWE900,Netherlands (the),Lake station,KLEINE WETERING,,,RHINE-MEUSE,,7,TREND,NaT,European Environment Agency,51.7082,5.4015,,,,,,,,,,,
NLD00374,,NL38_OLAARWL430,Netherlands (the),River station,GRAAFSE RAAM  LAGE RAAM  PEELKANAAL EA,,,RHINE-MEUSE,,11,TREND,NaT,European Environment Agency,51.6991,5.8702,,,,,,,,,,,
NLD00375,,NL38_OLACTBE880,Netherlands (the),River station,LACTARIABEEK,,,RHINE-MEUSE,,19,TREND,NaT,European Environment Agency,51.6129,5.9171,,,,,,,,,,,
NLD00376,,NL38_OLAGERA250,Netherlands (the),Lake station,LAGE RAAM GEGRAVEN,,,RHINE-MEUSE,,11,TREND,NaT,European Environment Agency,51.6631,5.8537,,,,,,,,,,,
NLD00377,,NL38_OLEIJGR840,Netherlands (the),River station,LEIJGRAAF,,,RHINE-MEUSE,,6,TREND,NaT,European Environment Agency,51.6647,5.4425,,,,,,,,,,,
NLD00368,,NL38_OHERTWE900,Netherlands (the),Lake station,HERTOGSWETERING  HOEFGRAAF E A,,,RHINE-MEUSE,,2,TREND,NaT,European Environment Agency,51.7528,5.3569,,,,,,,,,,,
NLD00369,,NL38_OHOOGRA860,Netherlands (the),River station,HALSCHE BEEK EN HOOGE RAAM,,,RHINE-MEUSE,,9,TREND,NaT,European Environment Agency,51.7363,5.7407,,,,,,,,,,,
NLD00370,,NL38_OJANSBE880,Netherlands (the),River station,ST JANSBEEK,,,RHINE-MEUSE,,10,TREND,NaT,European Environment Agency,51.6398,5.9764,,,,,,,,,,,
NLD00371,,NL38_OKIEVLO100,Netherlands (the),River station,AA  EEUWSELSE LOOP EN KIEVITSLOOP,,,RHINE-MEUSE,,26,TREND,NaT,European Environment Agency,51.3268,5.7326,,,,,,,,,,,
NLD00372,,NL38_OKLEIAA890,Netherlands (the),River station,KLEINE AA,,,RHINE-MEUSE,,21,TREND,NaT,European Environment Agency,51.4173,5.7002,,,,,,,,,,,
NLD00056,,NL13_RO272,Netherlands (the),Lake station,RO272,,,,,,TREND,2009-01-01,,52.19971,4.65611,,,,5.29,,,,,,,
NLD00055,,NL13_RO184,Netherlands (the),Lake station,RO184,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.09329,4.55877,,,,0.49,,,,,,,
NLD00054,,NL13_RO169,Netherlands (the),Lake station,RO169,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.12169,4.40443,,,,0.35,,,,,,,
NLD00060,,NL13_RO308,Netherlands (the),Lake station,RO308,,,,,,TREND,2009-01-01,,52.40019,4.67428,,,,1.2,,,,,,,
NLD00059,,NL13_RO300,Netherlands (the),Lake station,RO300,,,,,,TREND,2009-01-01,,52.19176,4.51593,,,,0.93,,,,,,,
NLD00058,,NL13_RO281,Netherlands (the),Lake station,RO281,,,,,,TREND,2009-01-01,,52.24094,4.72324,,,,10.32,,,,,,,
NLD00057,,NL13_RO275,Netherlands (the),Lake station,RO275,,,,,,TREND,2009-01-01,,52.33185,4.81796,,,,1.5,,,,,,,
NLD00063,,NL13_RO436,Netherlands (the),Lake station,RO436,,,,,,TREND,2009-01-01,,52.28909,4.7951,,,,0.84,,,,,,,
NLD00062,,NL13_RO420,Netherlands (the),Lake station,RO420,,,,,,TREND,2009-01-01,,52.39871,4.58986,,,,1.22,,,,,,,
NLD00061,,NL13_RO371,Netherlands (the),Lake station,RO371,,,,,,TREND,2009-01-01,,52.13689,4.68316,,,,0.75,,,,,,,
NLD00362,,NL38_OGRAARA100,Netherlands (the),River station,GRAAFSE RAAM  LAGE RAAM  PEELKANAAL EA,,,RHINE-MEUSE,,9,TREND,NaT,European Environment Agency,51.741,5.7421,,,,,,,,,,,
NLD00363,,NL38_OGROOWE690,Netherlands (the),Lake station,GROOTE WETERING,,,RHINE-MEUSE,,6,TREND,NaT,European Environment Agency,51.7005,5.4405,,,,,,,,,,,
NLD00364,,NL38_OGROOWE890,Netherlands (the),Lake station,GROOTE WETERING,,,RHINE-MEUSE,,5,TREND,NaT,European Environment Agency,51.6965,5.3558,,,,,,,,,,,
NLD00365,,NL38_OHEDIMA540,Netherlands (the),Lake station,LUISBROEKSCHE WETERING EN HEDIKHUIZENSCHE MAAS,,,RHINE-MEUSE,,2,TREND,NaT,European Environment Agency,51.7272,5.1896,,,,,,,,,,,
NLD00366,,NL38_OHERTWE480,Netherlands (the),Lake station,HERTOGSWETERING  HOEFGRAAF E A,,,RHINE-MEUSE,,4,TREND,NaT,European Environment Agency,51.7915,5.5438,,,,,,,,,,,
NLD00367,,NL38_OHERTWE690,Netherlands (the),Lake station,HERTOGSWETERING  HOEFGRAAF E A,,,RHINE-MEUSE,,2,TREND,NaT,European Environment Agency,51.7707,5.459,,,,,,,,,,,
NLD00358,,NL38_ODE_AA_680,Netherlands (the),River station,AA VAN GEMERT TOT DEN BOSCH,,,RHINE-MEUSE,,6,TREND,NaT,European Environment Agency,51.648,5.4621,,,,,,,,,,,
NLD00359,,NL38_ODRONKA820,Netherlands (the),Lake station,DRONGELENS KANAAL,,,RHINE-MEUSE,,1,TREND,NaT,European Environment Agency,51.713,5.0742,,,,,,,,,,,
NLD00360,,NL38_OGOORLO520,Netherlands (the),River station,GOORLOOP TOT AAN WILHELMINAKANAAL,,,RHINE-MEUSE,,15,TREND,NaT,European Environment Agency,51.5024,5.6128,,,,,,,,,,,
NLD00361,,NL38_OGOORLO740,Netherlands (the),River station,GOORLOOP  BOERDONKSE AA EN AA VAN HELMOND,,,RHINE-MEUSE,,12,TREND,NaT,European Environment Agency,51.5521,5.6151,,,,,,,,,,,
NLD00067,,NL13_RO888,Netherlands (the),Lake station,RO888,,,,,,TREND,2009-01-01,,52.34452,4.56148,,,,2.2,,,,,,,
NLD00066,,NL13_RO886,Netherlands (the),Lake station,RO886,,,,,,TREND,2009-01-01,,52.13559,4.33526,,,,1.55,,,,,,,
NLD00065,,NL13_RO601,Netherlands (the),Lake station,RO601,,,,,,TREND,2009-01-01,,52.16081,4.4378,,,,0.57,,,,,,,
NLD00064,,NL13_RO467,Netherlands (the),Lake station,RO467,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.10446,4.46622,,,,0.62,,,,,,,
NLD00071,,NL13_ROP022A04,Netherlands (the),Lake station,ROP022A04,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.07301,4.49542,,,,0.53,,,,,,,
NLD00070,,NL13_ROP022A03,Netherlands (the),Lake station,ROP022A03,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.08325,4.50799,,,,1.11,,,,,,,
NLD00069,,NL13_ROP01803,Netherlands (the),Lake station,ROP01803,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.0531,4.75316,,,,1.75,,,,,,,
NLD00068,,NL13_ROP01101,Netherlands (the),Lake station,ROP01101,,,RHINE-MEUSE,,,TREND,2009-01-01,,52.03646,4.66024,,,,0.12,,,,,,,
