Parameter Code,Analysis Method Code,Unit,Parameter Long Name,Method Name,Method Type,Method Number,Method Source,Method Description
ACHLORDANE,GC-ECD-ENV718,µg/l,Alpha-Chlordane,Gas Chromatography (ENV 718),Chromatography,ENV 718,Environment Canada 1995,"A 1 litre sample is extracted by benzene or hexane, and the extract dried, concentrated and cleaned up on a Florisil column for the preliminary separation. The eluates are concentrated, and injected into a gas chromatograph using electron capture detection. The pesticide is confirmed qualitatively by thin layer chromatography (TLC) and measured quantitatively by comparing the non-solvent areas of the chromatogram to those of standard solutions of the purified pesticide."
Ag-Dis,FAAS-AAc-D,mg/l,Silver - Dissolved,Direct Air-Acetylene Flame Atomic Absorption Spectrometry (Magnesium),Spectroscopy,SM 3111 B,APHA 2012,"A sample is preserved in the field with EDTA/nitric acid. The sample aliquot is aspirated and the absorbance is measured spectrometrically and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame."
Ag-Tot,ICP-AES-Dgs,mg/l,Silver - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,"Preconcentration by evaporation to near dryness with HNO3 or aqua regia (HNO3/HCl ratio v/v: 1to 3). Residue is taken up with HCl, and digested to near dryness, then brought to one-fifth or one-tenth original volume with deionized water. Digest is filtered through 0.4 um membrane before analysis."
Ag-Tot,ICP-AES-Xtr,mg/l,Silver - Total,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,Digestion with HNO3/HCl. Preconcentration by evaporation (factor 5 to 10).
Ag-Tot,ICP-MS-CVD,mg/l,Silver - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Ag-Tot,ICP-SFMS-CVD,mg/l,Silver - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
ALDICARB,ALD-HPLC-FD-UVD,µg/l,Aldicarb,High Performance Liquid Chromatography (HPLC - UV and Fluorescent Detectors) (ALDICARB),Chromatography,,Afghan and Ryan 1982,"A water sample is extracted with dichloromethane under different pH conditions. The extract is concentrated and subjected to adsorption chromatography on alumina and/or size exclusion chromatography on µ styragel to remove interfering substances. The eluents are evaporated to dryness and dissolved in 45:55 methanol/water solution and analysed, using reverse phase HPLC with UV and fluorescent detectors, at a flow rate of 2 mL/min in the mobile phase. Some carbamate pesticides elute very closely during HPLC separation; therefore, the identification is done through adsorption and fluorescence response ratios or by extracting the sample under acidic (pH 2) and neutral conditions. Quantify by monitoring the UV adsorption at 205 nm as well as the fluorescence at 313 nm or 390 nm, using an excitation wavelength of 254 nm, and compared to multi-point calibration standards and blank solutions. Interference: Many high molecular weight compounds (lipids, humic/fulvic acids, phenols, amines, PAHs, etc) can co-extract and interfere. The clean-up procedures using solvent partitioning, gel permeation chromatography or micro-alumina column chromatography will remove most interferences. UV light and hydrolysis under certain strong acidic or alkaline conditions can also interfere."
Al-Dis,AAS-E,mg/l,Aluminum - Dissolved,Electrothermal Atomic Absorption Spectrometric Method,Spectroscopy,SM 3113 B,APHA 2012,"A sample is preserved in the field with mineral acid. The sample aliquot is usually heated in three stages in a graphite furnace or an electrically heated atomiser where: first, a low current is applied to dry the sample; the second stage chars the sample by destroying the organic matter and volatilises other matrix compounds; finally, the third stage applies a high current which heats the tube to incandescence and atomises the aluminum to be determined. The absorbance of the resultant ground state atoms is measured at 309.3 nm and is compared to identically-prepared Al standard and blank solutions."
Al-Dis,COL-BLEACH,mg/l,Aluminum - Dissolved,Colorimetry using powdered reagents,Colorimetry,ENV 491,Environment Canada 1982,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with diluted mineral acid. The 50 ml sample aliquot is mixed with ascorbic acid and aluver powder pillows. Bleaching powder is added to the equally-split sample aliquot and the bleached and unbleached aliquots are measured colourimetrically at 522 nm and the absorbance is compared to identically-prepared standard and blank solutions, in the range is from 0.02 to 0.75 mg/L."
Al-Dis,COL-F,mg/l,Aluminum - Dissolved,Colorimetry using Ferron as Indicator,Colorimetry,ENV 488,Environment Canada 1995,"A sample is preserved in the field with diluted mineral acid. A hydroxylamine hydrochloride (NH2OH.HCl) solution, containing BeSO4 (to minimize the interference of fluoride), is added to two aliquots: one is the test aliquot and the other is the colour correction aliquot. A solution, containing ferron and orthophenanthroline (9, 10-phenanthroline) (to minimize the interference of iron), is added to one of the sample aliquots. Sodium acetate solution is added to both sample aliquots. The absorbance of the aliquot, containing ferron and orthophenanthroline, is measured spectrometrically at 520 nm, and compared to identically-prepared Al standard and blank solutions. A colour correction is made, using the aliquot without ferron and orthophenanthroline.The Al concentration measured is corrected for Fe, Mn and F ions, by the following equation:mg/L Al = A - B - C + D where, A = apparent mg/L Al ;B = (0.12 x mg/L Fe); C = 0.04 x mg/L Mn) ;D = (0.05 x mg/L F)"
